st1,st2,st3,st4,st5,st6,st7,st8,st9,st10,st11,st12,st13,st14,st15,st16,st17,st18,st19,st20,st21,st22,st23,st24,st25,st26,st27,st28,st29,st30,st31,st32,st33,st34,st35,st36,st37,st38,st39,st40,st41,st42,st43,st44,st45,cpu-cycles,instructions,bus-cycles,cache-references,cache-misses,branch-instructions,branch-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-icache-loads,L1-icache-load-missesd,TLB-load-misses,iTLB-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,Label
19,10,5,0,10,5,0,7,1,1,3,0,16,3,0,19,1,8,5,29,18,0,34,2,0,0,19,0,0,0,0,0,62,5,0,0,11,0,21893,1,5,0,19,19,10,4.270635,1,0.854127,0.453563,0.000017,0.162852,0.000019,0.255891,0.000019,0.19767,0,0.221262,0.000015,0.000021,0.000007,0.000055,0.000002,0.000026,0,O2
64,43,17,0,44,15,1,38,3,2,13,0,55,9,0,64,3,20,17,66,21,14,58,1,0,2,41,23,0,0,1,0,256,52,0,0,18,0,21955,4,7,0,49,48,0,3.506036,1,0.701207,0.516498,0.06814,0.069449,0.000025,0.378733,0.067975,0.137749,0.000166,0.012477,0,0.053628,0.000001,0.14406,0.004907,0.068136,0.000033,O3
53,35,14,0,36,12,1,31,2,1,11,0,45,8,0,53,3,16,14,52,14,9,58,2,0,0,53,0,0,0,0,0,179,32,0,0,12,0,0,3,7,0,40,39,0,3.551651,1,0.710329,0.517951,0.06858,0.069114,0.000025,0.379694,0.068416,0.138229,0.000164,0.00899,0.000002,0.053979,0.000001,0.145306,0.00493,0.068577,0.000033,O2
49,32,13,0,33,11,1,28,2,1,10,0,42,7,0,49,3,16,13,55,21,14,60,2,0,0,49,0,0,0,0,0,205,36,0,0,15,0,21927,3,7,0,50,46,0,3.417264,1,0.683454,0.531615,0.041237,0.041043,0.000041,0.429204,0.041251,0.102503,0.000014,0.268725,0,0.024103,0.000001,0.117655,0.005325,0.0412,0.000011,O2
49,32,13,0,33,11,1,28,2,1,10,0,43,6,0,49,3,16,13,51,22,10,58,2,0,0,49,0,0,0,0,0,178,28,0,0,14,0,21923,3,7,0,47,44,0,3.316,1,0.661216,0.434723,0.045711,0.051484,0.000618,0.342719,0.045621,0.091996,0.000022,0.262133,0.000001,0.045239,0.000001,0.129503,0.00582,0.045619,0.000011,O2
41,26,11,0,27,9,1,22,2,1,8,0,34,7,0,41,3,14,11,42,17,5,60,2,0,0,41,0,0,0,0,0,148,24,0,0,10,0,22065,2,7,0,38,37,0,3.844877,1,0.906352,0.482809,0.055102,0.065936,0.000066,0.353792,0.055112,0.129031,0.000012,0.014819,0.000002,0.0637,0.000001,0.167713,0.004027,0.055529,0.000009,O3
73,50,19,0,51,17,1,46,2,1,16,0,63,10,0,73,3,20,19,78,32,10,60,1,0,0,73,0,0,0,0,0,243,37,0,0,22,0,21978,5,7,0,67,64,0,2.690582,1,0.537163,0.497948,0.032747,0.063638,0.000341,0.376953,0.03273,0.121057,0.000011,0.282001,0.000001,0.02992,0.000001,0.087551,0.003918,0.032743,0.000008,Ofast
85,59,22,0,60,20,1,55,2,1,19,0,74,11,0,85,3,24,22,87,40,10,60,1,0,0,85,0,0,0,0,0,279,47,0,0,30,0,22097,7,7,0,76,67,0,2.981122,1,0.595897,0.501551,0.034446,0.064773,0.000244,0.37637,0.034586,0.125374,0.00003,0.261137,0.000001,0.03097,0.000001,0.093964,0.003997,0.033761,0.000008,Ofast
73,50,19,0,51,17,1,46,2,1,16,0,65,8,0,73,3,15,19,54,22,9,58,1,0,0,73,0,0,0,0,0,214,44,0,0,19,0,21939,2,7,1,41,39,0,2.064116,1,0.620715,0.649953,0.063545,0.134982,0.000045,0.704153,0.063406,0.272314,0.000141,0.1998,0.000002,0.05525,0.000001,0.181771,0.00893,0.063544,0.000009,O3
67,45,18,0,46,16,1,40,3,2,14,0,59,8,0,67,4,21,18,61,23,10,111,2,0,0,67,0,0,0,0,0,232,48,0,0,17,0,21971,3,11,0,48,46,0,0.748055,1,0.992704,0.536168,0.078785,0.084039,0.000217,0.494126,0.078127,0.162432,0.000203,0.101116,0.000001,0.06315,0.000001,0.243551,0.002514,0.081006,0.000018,O3
